P/N,NTCG104ED104DTDSX,,,,,
R25,100,K +/-,1,%,,
B25/50,4250,K  +/- ,1,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
19,132.5,133.4,134.2,4182,-0.1,0.1
20,126.3,127,127.8,4185,-0.1,0.1
21,120.3,121,121.8,4187,-0.1,0.1
22,114.7,115.4,116,4190,-0.1,0.1
23,109.4,110,110.6,4192,-0.1,0.1
24,104.3,104.8,105.4,4194,-0.1,0.1
25,99.5,100,100.5,4197,-0.1,0.1
26,94.9,95.4,95.9,4199,-0.1,0.1
27,90.54,91.04,91.54,4201,-0.1,0.1
28,86.4,86.9,87.39,4204,-0.1,0.1
29,82.47,82.97,83.46,4206,-0.1,0.1
30,78.74,79.23,79.72,4208,-0.1,0.1
31,75.2,75.69,76.17,4210,-0.1,0.1
32,71.84,72.32,72.8,4213,-0.1,0.1
33,68.64,69.12,69.59,4215,-0.2,0.2
34,65.6,66.07,66.54,4217,-0.2,0.2
35,62.72,63.18,63.64,4219,-0.2,0.2
36,59.97,60.42,60.88,4221,-0.2,0.2
37,57.36,57.81,58.25,4223,-0.2,0.2
38,54.87,55.31,55.76,4226,-0.2,0.2
39,52.51,52.94,53.38,4228,-0.2,0.2
40,50.26,50.68,51.11,4230,-0.2,0.2
41,48.12,48.53,48.95,4232,-0.2,0.2
42,46.08,46.49,46.9,4234,-0.2,0.2
43,44.13,44.53,44.94,4236,-0.2,0.2
44,42.28,42.67,43.07,4238,-0.2,0.2
45,40.52,40.9,41.29,4240,-0.2,0.2
46,38.83,39.21,39.59,4242,-0.2,0.2
47,37.23,37.6,37.97,4244,-0.2,0.2
48,35.7,36.06,36.43,4246,-0.2,0.2
49,34.24,34.6,34.95,4248,-0.3,0.3
50,32.85,33.19,33.55,4250,-0.3,0.3
51,31.52,31.86,32.2,4252,-0.3,0.3
52,30.25,30.58,30.92,4254,-0.3,0.3
53,29.04,29.36,29.69,4256,-0.3,0.3
54,27.88,28.2,28.52,4258,-0.3,0.3
55,26.78,27.09,27.4,4259,-0.3,0.3
56,25.72,26.03,26.33,4261,-0.3,0.3
57,24.71,25.01,25.31,4263,-0.3,0.3
58,23.75,24.04,24.33,4265,-0.3,0.3
59,22.83,23.11,23.4,4267,-0.3,0.3
60,21.95,22.22,22.5,4269,-0.3,0.3
61,21.1,21.37,21.65,4270,-0.3,0.3
62,20.3,20.56,20.83,4272,-0.3,0.3
63,19.52,19.78,20.04,4274,-0.3,0.3
64,18.78,19.04,19.29,4276,-0.4,0.4
65,18.08,18.32,18.57,4277,-0.4,0.4
66,17.4,17.64,17.88,4279,-0.4,0.4
67,16.75,16.99,17.22,4281,-0.4,0.4
68,16.13,16.36,16.59,4282,-0.4,0.4
69,15.54,15.76,15.99,4284,-0.4,0.4
70,14.97,15.18,15.4,4286,-0.4,0.4
71,14.42,14.63,14.85,4287,-0.4,0.4
72,13.9,14.1,14.31,4289,-0.4,0.4
73,13.39,13.6,13.8,4290,-0.4,0.4
74,12.91,13.11,13.31,4292,-0.4,0.4
75,12.45,12.64,12.84,4293,-0.4,0.4
76,12.01,12.19,12.39,4295,-0.4,0.4
77,11.58,11.76,11.95,4296,-0.4,0.4
78,11.17,11.35,11.53,4298,-0.5,0.5
79,10.78,10.96,11.13,4299,-0.5,0.5
80,10.41,10.58,10.75,4301,-0.5,0.5
81,10.04,10.21,10.38,4302,-0.5,0.5
82,9.697,9.859,10.02,4304,-0.5,0.5
83,9.364,9.522,9.683,4305,-0.5,0.5
84,9.044,9.198,9.355,4307,-0.5,0.5
85,8.736,8.887,9.04,4308,-0.5,0.5
86,8.44,8.587,8.737,4309,-0.5,0.5
87,8.156,8.299,8.445,4311,-0.5,0.5
88,7.882,8.022,8.165,4312,-0.5,0.5
89,7.619,7.756,7.895,4313,-0.5,0.5
90,7.367,7.5,7.636,4315,-0.5,0.5
91,7.123,7.254,7.386,4316,-0.6,0.6
92,6.889,7.016,7.146,4317,-0.6,0.6
93,6.664,6.788,6.914,4319,-0.6,0.6
94,6.447,6.568,6.692,4320,-0.6,0.6
95,6.238,6.357,6.477,4321,-0.6,0.6
96,6.038,6.153,6.271,4322,-0.6,0.6
97,5.844,5.957,6.072,4323,-0.6,0.6
98,5.658,5.768,5.88,4325,-0.6,0.6
99,5.478,5.586,5.695,4326,-0.6,0.6
100,5.305,5.41,5.517,4327,-0.6,0.6
101,5.138,5.241,5.345,4328,-0.6,0.6
102,4.978,5.078,5.18,4329,-0.6,0.6
103,4.823,4.921,5.02,4330,-0.7,0.7
104,4.674,4.769,4.866,4331,-0.7,0.7
105,4.53,4.623,4.718,4332,-0.7,0.7
106,4.391,4.482,4.575,4334,-0.7,0.7
107,4.257,4.346,4.437,4335,-0.7,0.7
108,4.128,4.215,4.303,4336,-0.7,0.7
109,4.003,4.088,4.175,4337,-0.7,0.7
110,3.883,3.966,4.05,4338,-0.7,0.7
111,3.767,3.848,3.931,4339,-0.7,0.7
112,3.655,3.734,3.815,4340,-0.7,0.7
113,3.546,3.624,3.703,4340,-0.7,0.7
114,3.442,3.518,3.595,4341,-0.7,0.8
115,3.341,3.415,3.491,4342,-0.8,0.8
116,3.244,3.316,3.39,4343,-0.8,0.8
117,3.149,3.22,3.292,4344,-0.8,0.8
118,3.059,3.128,3.198,4345,-0.8,0.8
119,2.971,3.038,3.107,4346,-0.8,0.8
120,2.886,2.952,3.019,4347,-0.8,0.8
121,2.804,2.868,2.934,4347,-0.8,0.8
122,2.724,2.787,2.852,4348,-0.8,0.8
123,2.647,2.709,2.772,4349,-0.8,0.8
124,2.573,2.634,2.695,4350,-0.8,0.8
125,2.501,2.561,2.621,4351,-0.8,0.9
